SAP,month_year,Consumo Total
A18110000362,2022-06-01,1.0
A18110000362,2022-07-01,1.0
A18110000362,2022-08-01,1.0
A18110000362,2022-09-01,2.0
A18110000362,2022-10-01,1.0
A18110000362,2023-01-01,1.0
A18110000362,2023-03-01,3.0
A18110000362,2024-01-01,1.0
A18110000362,2024-05-01,1.0
A18110000362,2024-08-01,1.0
A18110000362,2024-09-01,2.0
A18110000362,2024-11-01,1.0
A18110000362,2025-05-01,2.0
A18110000362,2025-08-01,1.0
A18110000362,2025-09-01,1.0
A18110001067,2024-03-01,12.0
A18110001067,2024-04-01,3.0
A18110001067,2024-05-01,1.0
A18110001067,2024-06-01,3.0
A18110001067,2024-09-01,2.0
A18110001067,2024-10-01,3.0
A18110001067,2025-01-01,1.0
A18110001067,2025-02-01,1.0
A18110001067,2025-03-01,2.0
A18110001067,2025-04-01,6.0
A18110001067,2025-06-01,1.0
A18110001067,2025-09-01,4.0
A18110001067,2025-10-01,2.0
A18110002547,2022-06-01,2.0
A18110002547,2022-07-01,1.0
A18110002547,2022-08-01,0.0
A18110002547,2022-09-01,1.0
A18110002547,2023-04-01,2.0
A18110002547,2023-05-01,1.0
A18110002547,2023-06-01,1.0
A18110002547,2023-07-01,1.0
A18110002547,2023-08-01,1.0
A18110002547,2023-09-01,2.0
A18110002547,2023-10-01,2.0
A18110002547,2023-11-01,4.0
A18110002547,2024-10-01,1.0
A18110002547,2024-12-01,2.0
A18110002547,2025-02-01,3.0
A18110002547,2025-03-01,1.0
A18110002547,2025-04-01,0.0
A18110002547,2025-05-01,1.0
A18110002547,2025-06-01,1.0
A18110002547,2025-07-01,0.0
A18110002547,2025-10-01,1.0
A18110008772,2022-01-01,1.0
A18110008772,2022-03-01,6.0
A18110008772,2022-06-01,2.0
A18110008772,2022-09-01,2.0
A18110008772,2022-10-01,1.0
A18110008772,2023-08-01,8.0
A18110008772,2023-09-01,14.0
A18110008772,2023-11-01,3.0
A18110008772,2023-12-01,2.0
A18110008772,2024-03-01,4.0
A18110008772,2024-04-01,2.0
A18110008772,2024-07-01,2.0
A18110008772,2024-08-01,2.0
A18110008772,2024-09-01,14.0
A18110008772,2025-03-01,6.0
A18110008772,2025-09-01,2.0
A18110008863,2022-02-01,0.0
A18110008863,2022-03-01,3.0
A18110008863,2022-08-01,14.0
A18110008863,2023-02-01,3.0
A18110008863,2023-05-01,2.0
A18110008863,2023-07-01,3.0
A18110008863,2024-01-01,3.0
A18110008863,2024-03-01,3.0
A18110008863,2024-06-01,2.0
A18110008863,2024-09-01,2.0
A18110008863,2024-10-01,1.0
A18110008863,2024-12-01,1.0
A18110008863,2025-01-01,2.0
A18110008863,2025-02-01,1.0
A18110008863,2025-05-01,3.0
A18110008863,2025-06-01,0.0
A18110008863,2025-09-01,1.0
A18110009021,2022-02-01,2.0
